"Name","Home Price Forecast","Vacancy Rate","Investor Forecast","Price Cut %","Median Age","Housing Unit Growth Rate"
"Wheeler, TX","34","28.7%","-","13.7%","40.6","-4.4%"
"Hemphill, TX","43","19.2%","-","0.0%","41.3","1.0%"
"Lipscomb, TX","26","26.8%","-","0.0%","37.4","-1.3%"
"Stevens, KS","58","20.2%","-","28.5%","38.0","-3.1%"
"Hansford, TX","32","20.0%","-","0.0%","35.9","-2.6%"
"Carson, TX","39","17.5%","53","10.5%","42.3","-0.0%"
"Armstrong, TX","35","15.0%","46","40.0%","43.0","-4.7%"
"Moore, TX","50","11.5%","-","11.7%","30.6","2.2%"
"Potter, TX","34","14.1%","47","29.7%","35.4","-0.9%"
"Castro, TX","28","19.7%","-","0.0%","34.9","-4.6%"
"Parmer, TX","33","15.1%","-","20.0%","36.2","-1.0%"
"Coke, TX","44","30.6%","-","0.0%","47.2","-20.0%"
"Glasscock, TX","61","4.7%","-","0.0%","40.6","-18.7%"
"Reagan, TX","39","24.1%","-","0.0%","29.4","4.4%"
"Gaines, TX","50","7.8%","-","31.4%","29.3","18.9%"
"Ector, TX","52","4.5%","46","38.6%","31.6","19.5%"
"Crane, TX","48","8.9%","-","28.5%","36.7","9.7%"
"Real, TX","30","44.1%","-","6.4%","56.5","-33.1%"
"Kinney, TX","38","23.7%","-","0.0%","50.4","-18.0%"
"Crockett, TX","43","32.3%","-","0.0%","42.9","-4.2%"
"Crowley, CO","49","13.1%","-","0.0%","39.6","-3.0%"
"Clear Creek, CO","27","21.7%","40","23.9%","49.2","-0.0%"
"Eagle, CO","46","37.4%","44","9.0%","39.3","4.0%"
"De Baca, NM","52","37.5%","-","0.0%","35.1","8.0%"
"Torrance, NM","49","20.2%","42","18.6%","42.5","-9.9%"
"Grand, CO","29","62.0%","-","18.2%","45.5","2.4%"
"Grand, UT","28","16.2%","-","18.1%","39.6","0.0%"
"Dolores, CO","58","24.5%","-","0.0%","57.2","9.6%"
"Macoupin, IL","55","17.4%","51","26.0%","44.3","-2.7%"
"Bollinger, MO","53","22.9%","29","27.5%","44.3","-14.1%"
"Dunklin, MO","37","16.9%","-","19.2%","39.5","-6.7%"
"Grenada, MS","42","18.0%","-","11.4%","38.9","1.7%"
"Panola, TX","46","21.5%","-","22.7%","40.5","-2.9%"
"Panola, MS","45","15.7%","-","20.0%","39.7","-2.0%"
"Yazoo, MS","46","15.0%","60","26.0%","38.4","3.2%"
"Amite, MS","56","19.5%","-","0.0%","48.8","8.2%"
"Clark, AR","50","18.6%","-","18.3%","31.9","-4.6%"
"Clark, KS","49","23.7%","-","0.0%","46.5","-7.3%"
"Clark, MO","37","29.9%","-","21.0%","43.5","-7.3%"
"Callaway, MO","52","12.8%","36","24.4%","39.3","-1.4%"
"Boone, AR","42","12.4%","-","23.0%","41.3","2.4%"
"Boone, MO","49","6.9%","60","22.3%","33.0","4.5%"
"Adair, OK","49","14.7%","-","12.3%","38.1","-13.0%"
"Adair, MO","45","21.6%","46","13.8%","29.8","-1.0%"
"Sullivan, MO","36","32.7%","-","26.6%","44.2","-9.6%"
"Hickory, MO","41","37.1%","-","15.0%","55.2","-19.7%"
"Wayne, MO","49","26.7%","-","13.5%","48.2","-24.0%"
"Wayne, UT","44","36.6%","-","0.0%","43.1","2.6%"
"Wayne, IA","41","15.4%","-","9.3%","42.0","-5.3%"
"Daviess, MO","50","25.8%","-","17.0%","40.6","-1.4%"
"Bates, MO","40","16.9%","45","27.5%","40.8","-8.4%"
"Gentry, MO","52","17.9%","-","22.2%","40.5","-8.7%"
"Independence, AR","52","13.2%","-","15.5%","39.0","1.6%"
"Texas, OK","33","18.8%","-","7.0%","33.4","2.7%"
"Texas, MO","48","13.6%","-","11.5%","42.8","-5.8%"
"Searcy, AR","37","35.3%","-","15.3%","48.5","-4.1%"
"Christian, MO","39","4.4%","65","21.2%","39.5","7.2%"
"Tensas, LA","38","41.9%","-","0.0%","47.4","-17.6%"
"Bradley, AR","36","29.1%","-","12.1%","38.5","-12.5%"
"St. Martin, LA","45","15.7%","57","24.8%","39.7","2.3%"
"West Baton Rouge, LA","52","12.0%","59","14.8%","36.6","10.8%"
"West Feliciana, LA","58","23.7%","41","26.6%","42.2","-5.2%"
"Chambers, TX","46","8.7%","79","22.9%","35.3","18.6%"
"McPherson, KS","55","7.4%","-","24.2%","39.1","-0.2%"
"Barton, MO","42","16.4%","-","7.6%","40.6","-5.4%"
"Barton, KS","51","17.4%","-","20.0%","38.8","-2.6%"
"Wagoner, OK","41","9.3%","69","21.6%","39.5","6.1%"
"Chautauqua, KS","34","33.2%","-","25.0%","45.3","-7.5%"
"Payne, OK","49","12.1%","57","14.7%","27.8","1.1%"
"Comanche, TX","38","22.2%","-","20.1%","43.7","-5.2%"
"Comanche, OK","51","12.8%","64","11.2%","33.9","1.9%"
"Comanche, KS","56","21.8%","-","0.0%","50.8","6.9%"
"Smith, KS","36","21.9%","-","0.0%","50.0","-9.5%"
"Smith, TX","33","18.6%","62","27.0%","38.2","10.5%"
"Lamar, TX","36","11.8%","-","29.4%","40.0","0.2%"
"Leon, TX","42","27.4%","-","18.1%","44.3","-7.1%"
"Young, TX","42","9.2%","-","23.8%","40.7","-1.8%"
"Callahan, TX","40","19.7%","51","15.7%","43.8","-2.1%"
"Matagorda, TX","44","21.4%","35","23.8%","37.5","-2.2%"
"Wharton, TX","44","12.1%","-","21.4%","38.4","0.2%"
"Bastrop, TX","29","6.8%","60","23.6%","37.6","37.2%"
"Bee, TX","42","19.1%","-","27.3%","35.8","-0.9%"
"Jim Wells, TX","44","17.9%","-","9.3%","35.5","-0.8%"
"Llano, TX","31","34.4%","-","23.8%","57.5","2.8%"
"Medina, TX","30","11.5%","47","27.5%","39.6","6.8%"
"Willacy, TX","34","17.2%","-","14.5%","33.7","-5.9%"
"Hodgeman, KS","70","18.1%","-","0.0%","45.9","-18.6%"
"Gosper, NE","43","35.7%","-","28.5%","49.2","-6.7%"
"Gove, KS","34","12.0%","-","0.0%","41.7","-5.7%"
"Red Willow, NE","44","13.9%","-","20.3%","41.2","-2.7%"
"Dundy, NE","38","19.7%","-","28.5%","45.6","-11.3%"
"Kit Carson, CO","52","14.9%","-","0.0%","39.0","-3.4%"
"Harper, KS","50","27.1%","-","11.4%","40.8","-4.6%"
"Harper, OK","41","26.7%","-","0.0%","41.3","-9.4%"
"Beckham, OK","55","19.0%","-","14.7%","37.1","0.9%"
"Harmon, OK","39","30.0%","-","0.0%","40.3","-11.5%"
"Cimarron, OK","59","48.6%","-","0.0%","38.3","-13.1%"
"Hartley, TX","40","9.5%","-","16.0%","39.5","-7.0%"
"Deaf Smith, TX","38","14.5%","-","15.3%","31.4","-0.8%"
"Martin, TX","55","7.8%","59","0.0%","37.2","18.6%"
"Upton, TX","39","18.6%","-","36.3%","41.1","-0.7%"
"Yoakum, TX","39","13.2%","-","0.0%","33.0","-0.8%"
"Bailey, TX","54","19.2%","-","0.0%","35.1","9.4%"
"Winkler, TX","50","13.3%","-","30.7%","35.3","5.9%"
"Kimble, TX","33","34.2%","-","14.8%","50.3","-13.3%"
"Gilpin, CO","41","16.9%","29","32.0%","48.7","0.8%"
"Saguache, CO","48","15.0%","-","25.9%","49.8","-5.9%"
"Colfax, NM","53","43.4%","-","11.4%","49.1","-6.5%"
"Guadalupe, TX","30","4.1%","66","33.1%","38.1","20.1%"
"Taos, NM","46","31.4%","-","15.3%","51.9","1.3%"
"Santa Fe, NM","43","10.5%","54","21.8%","49.3","8.4%"
"Sandoval, NM","43","5.2%","67","31.0%","40.8","8.1%"
"Eddy, NM","54","12.7%","-","15.1%","35.9","9.7%"
"Utah, UT","31","2.6%","61","32.9%","26.2","22.5%"
"Pinal, AZ","27","11.2%","59","33.9%","40.7","7.1%"
"McDonough, IL","55","13.5%","-","13.6%","35.1","-5.7%"
"Poinsett, AR","32","13.3%","41","17.2%","39.8","-5.0%"
"Iron, MO","48","19.1%","-","16.0%","45.3","-11.4%"
"Orleans, LA","38","21.1%","55","21.9%","39.5","2.5%"
"East Feliciana, LA","48","20.0%","47","9.5%","44.6","-2.5%"
"Hancock, IL","47","16.1%","-","27.2%","46.3","-3.1%"
"Henry, MO","49","13.6%","-","23.6%","44.1","-2.1%"
"Cole, MO","55","5.3%","31","16.0%","40.8","0.4%"
"Cooper, MO","43","15.2%","43","29.0%","39.9","-3.0%"
"Putnam, MO","57","34.1%","-","9.3%","45.6","-4.7%"
"Mercer, MO","40","32.4%","-","19.0%","40.8","-10.4%"
"Caldwell, LA","49","20.6%","-","0.0%","40.7","-9.3%"
"Caldwell, TX","27","7.4%","47","27.5%","38.2","17.2%"
"Caldwell, MO","36","15.8%","30","15.6%","42.7","-8.4%"
"Andrew, MO","50","7.6%","44","24.2%","42.1","3.1%"
"Leavenworth, KS","48","6.0%","43","21.8%","38.1","7.3%"
"Page, IA","41","11.9%","-","18.8%","45.0","-3.0%"
"Shannon, MO","51","20.4%","-","11.7%","45.5","-15.5%"
"Oregon, MO","52","22.4%","-","10.0%","44.6","-21.2%"
"Douglas, CO","30","2.1%","47","38.5%","39.8","15.5%"
"Douglas, KS","52","5.6%","37","14.0%","32.6","5.9%"
"Douglas, MO","34","13.1%","-","9.5%","46.6","-17.3%"
"Ozark, MO","40","28.9%","-","17.2%","51.9","-11.2%"
"Baxter, AR","46","15.5%","-","28.2%","51.9","-0.1%"
"Wright, MO","49","16.7%","-","15.7%","41.2","-3.8%"
"Garland, AR","42","14.6%","45","23.5%","45.9","3.8%"
"Vernon, LA","44","19.5%","-","16.4%","32.1","-0.2%"
"Vernon, MO","52","12.6%","-","19.0%","41.7","-6.2%"
"McDonald, MO","37","13.2%","-","25.8%","38.1","-1.4%"
"Craig, OK","42","17.7%","-","23.1%","40.8","-5.4%"
"Neosho, KS","45","12.5%","-","14.0%","40.3","-6.7%"
"Arkansas, AR","46","24.2%","-","9.3%","41.0","-7.9%"
"Wilkinson, MS","68","25.3%","-","0.0%","39.1","-10.5%"
"Catahoula, LA","41","30.8%","-","44.4%","38.8","-10.8%"
"Claiborne, MS","53","28.1%","-","0.0%","33.8","-7.6%"
"Claiborne, LA","35","26.4%","-","21.6%","41.9","-12.8%"
"Titus, TX","36","9.0%","-","30.6%","34.7","-1.4%"
"St. Mary, LA","45","16.9%","-","30.1%","39.7","-4.1%"
"Lafayette, MO","49","12.3%","56","27.3%","40.9","-4.0%"
"Lafayette, AR","40","34.9%","-","22.2%","48.5","-10.0%"
"Lafayette, LA","45","10.3%","52","24.4%","37.1","9.5%"
"Evangeline, LA","47","15.7%","-","30.7%","37.7","-3.1%"
"Liberty, TX","30","12.1%","71","29.3%","32.8","18.2%"
"San Jacinto, TX","40","27.6%","52","26.6%","45.0","6.1%"
"Cass, IL","56","9.3%","-","13.3%","38.1","-2.8%"
"Cass, TX","35","15.6%","-","22.2%","43.8","-3.9%"
"Cass, MO","45","5.9%","51","18.5%","41.5","11.2%"
"Pottawatomie, OK","40","10.7%","46","27.9%","38.3","1.3%"
"Pottawatomie, KS","58","9.8%","49","14.0%","36.2","6.2%"
"Marshall, OK","39","34.8%","-","15.1%","42.0","-13.9%"
"Marshall, KS","49","13.8%","-","18.1%","42.6","-2.9%"
"Ellsworth, KS","53","25.1%","-","16.0%","43.7","-3.6%"
"Mitchell, TX","49","30.7%","-","11.7%","36.9","-9.2%"
"Mitchell, KS","34","17.8%","-","21.0%","43.3","-5.6%"
"Edwards, KS","34","23.4%","-","0.0%","44.3","-4.3%"
"Rush, KS","35","18.7%","-","20.0%","46.0","-6.6%"
"McIntosh, OK","44","35.8%","-","19.7%","47.3","-13.3%"
"Pittsburg, OK","40","20.5%","-","21.3%","40.3","-3.7%"
"Cowley, KS","52","14.7%","-","14.3%","38.1","-3.1%"
"Kay, OK","49","20.1%","-","27.4%","38.3","-2.8%"
"Dewey, OK","45","27.3%","-","0.0%","38.0","-9.8%"
"Woodward, OK","48","13.5%","-","19.4%","36.5","4.6%"
"Pushmataha, OK","34","23.1%","-","8.7%","43.8","-7.5%"
"Houston, TX","45","28.0%","-","6.0%","44.0","-7.1%"
"Wood, TX","36","18.1%","-","31.3%","48.4","5.0%"
"Hunt, TX","28","9.5%","52","31.2%","37.2","16.2%"
"Kaufman, TX","27","5.0%","67","34.3%","33.7","31.3%"
"Tarrant, TX","31","6.8%","53","34.0%","35.3","10.5%"
"Bosque, TX","37","20.0%","67","26.4%","46.3","-3.9%"
"Erath, TX","32","11.5%","51","22.1%","31.9","3.1%"
"Brazoria, TX","40","10.3%","50","23.0%","36.8","10.8%"
"Milam, TX","30","13.2%","-","26.3%","41.6","1.2%"
"DeWitt, TX","40","27.5%","-","14.8%","41.8","0.1%"
"Nueces, TX","32","14.8%","43","24.9%","37.3","3.9%"
"Karnes, TX","38","21.1%","-","11.1%","37.1","-0.7%"
"Atascosa, TX","29","12.4%","45","27.7%","36.1","4.1%"
"Cameron, LA","33","40.9%","33","15.0%","43.0","-13.7%"
"Cameron, TX","37","11.7%","65","18.5%","33.4","6.3%"
"Zapata, TX","45","25.8%","-","22.2%","31.5","-2.6%"
"Hitchcock, NE","34","28.1%","-","21.0%","44.7","-9.9%"
"Kiowa, OK","30","28.5%","-","7.4%","42.0","-9.2%"
"Kiowa, KS","29","17.5%","-","0.0%","41.2","-7.0%"
"Kiowa, CO","33","18.4%","-","0.0%","43.9","-10.3%"
"Cottle, TX","40","41.2%","-","0.0%","44.3","-8.9%"
"Tom Green, TX","31","9.5%","42","21.3%","37.2","8.3%"
"Nolan, TX","34","18.1%","-","8.2%","36.5","0.8%"
"Sterling, TX","35","20.8%","-","0.0%","31.4","-15.8%"
"Crosby, TX","39","26.0%","41","19.0%","39.3","-8.0%"
"Lubbock, TX","33","10.3%","52","20.3%","32.1","10.1%"
"Lea, NM","58","13.3%","-","8.6%","33.5","7.0%"
"Dimmit, TX","34","24.9%","-","14.8%","36.3","-8.9%"
"Menard, TX","46","36.3%","-","0.0%","58.0","-29.0%"
"Val Verde, TX","38","10.3%","-","17.5%","32.3","-2.2%"
"Teller, CO","29","16.7%","60","31.6%","52.0","2.9%"
"Bernalillo, NM","46","6.1%","53","30.1%","39.8","3.1%"
"Montrose, CO","45","9.7%","51","18.1%","45.7","3.0%"
"Wasatch, UT","35","22.4%","50","13.0%","36.1","21.4%"
"Sanpete, UT","34","16.2%","-","22.5%","33.8","-2.5%"
"Catron, NM","52","50.6%","-","9.5%","62.6","-14.3%"
"Garfield, CO","51","6.3%","72","17.6%","37.2","3.2%"
"Garfield, OK","50","13.9%","52","32.9%","35.7","3.6%"
"Randolph, AR","41","17.9%","-","10.8%","39.3","0.7%"
"Randolph, MO","45","14.4%","-","19.0%","40.1","0.5%"
"Randolph, IL","55","12.9%","-","23.1%","43.0","-3.8%"
"Fulton, AR","50","22.6%","-","12.9%","48.6","-8.8%"
"Fulton, IL","53","12.4%","-","29.6%","43.7","-2.6%"
"Tipton, TN","41","6.8%","51","22.6%","38.7","1.9%"
"Craighead, AR","40","5.5%","63","20.3%","35.1","7.9%"
"Ripley, MO","53","22.3%","-","21.4%","41.4","-21.4%"
"Lawrence, AR","42","15.1%","-","11.4%","39.8","-5.1%"
"Lawrence, MO","43","9.7%","-","20.4%","39.0","-2.5%"
"Lawrence, MS","52","25.0%","-","0.0%","40.7","-5.7%"
"Hinds, MS","48","16.6%","47","23.9%","37.5","2.0%"
"Copiah, MS","47","20.4%","45","15.3%","39.8","1.9%"
"St. Helena, LA","37","22.7%","57","0.0%","42.4","0.7%"
"Ascension, LA","44","8.5%","58","21.9%","37.3","9.0%"
"East Baton Rouge, LA","43","14.6%","52","22.7%","34.6","6.3%"
"Pike, MS","56","20.3%","-","11.1%","37.1","4.6%"
"Pike, AR","42","22.5%","-","20.3%","42.8","-5.3%"
"Pike, IL","42","20.2%","-","12.6%","42.9","-8.7%"
"Pike, MO","53","15.4%","-","22.2%","39.7","-3.5%"
"Monroe, IL","49","5.6%","45","17.6%","42.5","4.2%"
"Monroe, AR","48","26.6%","-","0.0%","45.5","-13.7%"
"Monroe, MO","52","22.6%","-","23.5%","45.8","-7.8%"
"Camden, MO","41","56.9%","-","29.6%","53.0","-4.4%"
"Livingston, LA","44","8.7%","49","22.4%","36.1","4.6%"
"Livingston, MO","52","13.3%","-","8.3%","39.9","-6.1%"
"St. Clair, IL","55","11.6%","55","15.7%","39.7","-3.6%"
"St. Clair, MO","49","22.7%","-","11.4%","47.2","-6.1%"
"Wyandotte, KS","41","9.8%","57","24.5%","34.8","1.0%"
"Doniphan, KS","52","20.8%","62","40.0%","41.3","-5.4%"
"White, AR","47","10.1%","-","19.5%","38.3","1.3%"
"Howell, MO","46","11.6%","-","15.9%","40.1","-0.8%"
"Webster, NE","38","14.9%","-","0.0%","44.6","-7.6%"
"Webster, LA","45","19.5%","-","24.5%","41.2","-6.5%"
"Webster, MO","40","10.4%","65","21.6%","36.9","4.6%"
"Newton, TX","29","24.1%","-","10.5%","45.8","-11.1%"
"Newton, MO","47","10.8%","54","33.0%","40.2","0.3%"
"Newton, AR","41","25.7%","-","12.9%","48.9","-12.5%"
"Stone, AR","51","27.2%","-","14.0%","49.2","-0.4%"
"Stone, MO","34","35.0%","-","25.3%","54.4","-3.4%"
"Montgomery, MO","53","20.8%","-","25.0%","43.8","-6.9%"
"Montgomery, KS","56","17.3%","-","22.6%","40.3","-5.6%"
"Montgomery, TX","40","6.4%","48","26.7%","37.3","25.9%"
"Montgomery, AR","48","31.3%","-","6.4%","50.8","-6.2%"
"Cedar, MO","54","19.0%","-","19.5%","44.5","-3.8%"
"Crawford, MO","52","17.1%","-","19.2%","42.3","-5.2%"
"Crawford, KS","50","12.1%","46","18.1%","33.8","0.0%"
"Crawford, AR","43","9.8%","45","33.6%","39.1","-4.5%"
"Ouachita, AR","49","27.6%","-","14.8%","44.0","-9.2%"
"Ouachita, LA","54","11.9%","56","24.6%","36.6","3.8%"
"Winn, LA","40","23.3%","-","0.0%","41.6","-12.7%"
"Sevier, AR","52","15.8%","-","17.3%","34.8","-2.5%"
"San Augustine, TX","36","37.1%","-","22.2%","48.8","-11.6%"
"Bowie, TX","37","10.1%","43","21.9%","39.4","0.3%"
"Nacogdoches, TX","41","14.2%","-","21.6%","32.8","2.6%"
"Gregg, TX","46","12.3%","60","24.3%","35.8","4.1%"
"Upshur, TX","38","11.8%","49","33.4%","40.3","2.6%"
"Calcasieu, LA","39","17.9%","45","21.3%","38.0","4.9%"
"Tyler, TX","36","25.5%","-","19.0%","42.5","-11.8%"
"Galveston, TX","31","13.4%","47","25.1%","39.3","10.7%"
"Richardson, NE","52","12.7%","-","0.0%","45.9","-7.1%"
"Mills, TX","35","29.4%","-","10.8%","52.2","-9.9%"
"Riley, KS","58","9.7%","32","20.5%","24.9","-1.4%"
"Rice, KS","41","15.7%","-","20.0%","39.0","-4.4%"
"Franklin, KS","46","8.4%","-","29.6%","40.1","0.0%"
"Franklin, TX","37","23.0%","-","25.7%","43.5","-12.3%"
"Franklin, MS","44","31.4%","-","21.0%","42.7","1.8%"
"Franklin, MO","52","5.9%","57","13.9%","42.7","3.0%"
"Franklin, AR","45","11.2%","-","26.9%","42.4","-3.8%"
"Franklin, LA","49","17.7%","-","26.0%","39.1","-2.7%"
"Franklin, NE","50","16.3%","-","0.0%","49.0","-9.8%"
"Ellis, TX","30","4.0%","66","31.8%","36.4","24.0%"
"Ellis, OK","50","31.9%","-","0.0%","43.4","-6.5%"
"Ellis, KS","56","8.0%","-","18.3%","32.5","0.2%"
"Muskogee, OK","46","10.3%","46","21.4%","38.8","-5.0%"
"Coal, OK","39","19.7%","-","26.6%","40.3","-7.8%"
"Seminole, OK","39","19.3%","-","10.9%","39.2","-7.8%"
"Oklahoma, OK","43","7.9%","59","28.7%","35.4","6.6%"
"Major, OK","50","13.7%","-","26.6%","42.0","0.9%"
"Alfalfa, OK","29","23.7%","-","0.0%","44.4","-8.9%"
"Washita, OK","43","20.0%","-","12.9%","40.7","-5.5%"
"Custer, CO","45","43.7%","-","13.9%","58.6","-2.5%"
"Custer, OK","50","16.7%","-","18.3%","32.8","3.3%"
"Henderson, TX","34","20.3%","59","25.8%","45.2","2.7%"
"Falls, TX","31","19.3%","71","25.0%","41.5","-3.6%"
"Love, OK","43","20.2%","-","26.0%","38.6","3.3%"
"Somervell, TX","35","10.2%","-","10.5%","44.0","3.8%"
"Shackelford, TX","38","15.4%","-","0.0%","43.9","-10.6%"
"Brazos, TX","40","10.3%","56","21.1%","27.3","10.9%"
"Colorado, TX","44","24.7%","-","23.5%","43.8","-5.3%"
"Victoria, TX","42","13.4%","51","29.2%","37.2","7.4%"
"Refugio, TX","33","28.7%","-","8.5%","43.9","-10.6%"
"San Patricio, TX","36","16.5%","50","21.8%","38.4","8.3%"
"Kleberg, TX","43","15.6%","-","23.3%","29.3","5.2%"
"Hays, TX","28","3.9%","46","33.4%","34.2","34.4%"
"Wilson, KS","53","21.7%","-","24.4%","42.3","-3.6%"
"Wilson, TX","30","7.6%","44","34.8%","40.1","10.3%"
"Bexar, TX","31","9.3%","51","30.8%","35.0","19.4%"
"Bandera, TX","33","22.2%","28","22.2%","53.4","-2.9%"
"Scott, AR","49","19.4%","-","16.0%","42.4","-7.3%"
"Scott, IL","55","15.0%","-","0.0%","44.3","-2.8%"
"Scott, KS","50","3.5%","-","0.0%","39.3","2.8%"
"Thomas, KS","51","13.3%","-","0.0%","35.3","0.1%"
"Rawlins, KS","69","14.4%","-","0.0%","47.0","-6.1%"
"Cheyenne, CO","29","22.1%","-","0.0%","43.0","3.6%"
"Cheyenne, KS","34","19.0%","-","20.0%","39.8","-2.5%"
"Yuma, CO","38","8.4%","-","0.0%","39.6","-4.4%"
"Greer, OK","32","22.3%","-","17.0%","40.6","-3.7%"
"Briscoe, TX","42","38.4%","-","0.0%","50.8","-9.0%"
"Bent, CO","29","13.3%","-","0.0%","41.7","-4.2%"
"Curry, NM","45","13.1%","48","22.3%","31.9","0.3%"
"Taylor, IA","44","14.4%","-","22.8%","43.6","-6.8%"
"Taylor, TX","38","12.9%","67","21.6%","34.0","8.9%"
"Runnels, TX","38","23.8%","-","14.2%","41.8","-4.9%"
"Motley, TX","62","36.1%","-","0.0%","51.4","-5.0%"
"Irion, TX","56","23.7%","46","133.3%","50.5","-8.4%"
"Floyd, TX","30","25.4%","-","21.0%","38.5","-12.6%"
"Midland, TX","45","3.7%","45","43.8%","32.9","19.0%"
"Terry, TX","34","10.9%","-","18.6%","35.7","-1.3%"
"Ward, TX","37","15.4%","-","25.5%","34.9","7.4%"
"Roosevelt, NM","47","15.4%","50","17.9%","32.0","0.6%"
"Zavala, TX","37","13.6%","-","0.0%","32.5","-9.0%"
"Pecos, TX","39","12.7%","-","28.5%","37.3","3.1%"
"Brewster, TX","39","17.2%","-","17.2%","42.2","8.2%"
"Arapahoe, CO","22","4.0%","49","39.9%","37.4","7.0%"
"Chaffee, CO","37","18.7%","-","18.4%","47.6","4.0%"
"Gunnison, CO","52","35.9%","-","7.9%","37.0","4.1%"
"Pitkin, CO","54","32.3%","44","2.4%","47.3","-3.2%"
"Huerfano, CO","44","40.2%","-","9.5%","55.1","-9.1%"
"Rio Arriba, NM","52","23.9%","-","17.0%","42.4","-1.7%"
"Mineral, CO","64","65.3%","-","21.0%","53.7","-5.5%"
"Otero, CO","31","12.4%","-","24.2%","40.9","-3.0%"
"Otero, NM","53","23.1%","47","13.3%","36.7","3.3%"
"Socorro, NM","54","31.6%","-","9.0%","39.7","-6.8%"
"Sierra, NM","55","33.4%","-","11.5%","57.3","-4.3%"
"Culberson, TX","45","26.7%","-","0.0%","48.1","-3.4%"
"San Juan, CO","51","49.7%","-","0.0%","42.2","-3.0%"
"San Juan, UT","46","17.1%","-","17.0%","34.6","-5.8%"
"San Juan, NM","59","11.9%","42","20.8%","38.3","-5.5%"
"Luna, NM","53","21.4%","-","22.7%","36.6","2.9%"
"Apache, AZ","44","17.7%","-","17.0%","38.8","-11.4%"
"Mason, TX","36","35.7%","-","10.2%","46.5","-11.1%"
"Mason, IL","60","13.6%","-","21.0%","45.5","-6.1%"
"Knox, TX","28","30.2%","-","21.6%","40.5","-11.5%"
"Knox, MO","47","37.4%","-","0.0%","39.8","-14.9%"
"Brown, KS","51","17.1%","-","17.7%","42.0","-5.3%"
"Brown, TX","46","21.5%","-","20.5%","41.4","1.7%"
"Brown, IL","50","12.9%","-","12.5%","40.9","-5.4%"
"Perry, AR","47","22.4%","42","11.7%","44.1","-0.3%"
"Perry, MO","51","13.9%","-","25.5%","41.6","-2.4%"
"DeSoto, MS","32","8.3%","66","23.8%","37.2","12.4%"
"Crittenden, AR","46","14.1%","52","13.7%","36.0","-1.7%"
"St. Francis, AR","54","17.7%","-","8.6%","39.7","-12.6%"
"Reynolds, MO","47","33.3%","-","17.3%","46.1","-13.8%"
"Carroll, MO","52","21.3%","-","0.0%","43.7","-5.6%"
"Carroll, AR","48","20.1%","-","18.8%","44.7","1.7%"
"Carroll, MS","50","15.0%","-","18.1%","47.7","-3.9%"
"Holmes, MS","56","20.7%","48","0.0%","35.8","-11.3%"
"Walthall, MS","50","21.5%","-","14.2%","41.4","-4.8%"
"Coahoma, MS","49","16.9%","-","9.7%","35.7","-5.0%"
"Sunflower, MS","30","14.4%","-","8.1%","37.6","-2.7%"
"St. Tammany, LA","40","8.2%","-","28.8%","40.8","10.3%"
"St. John the Baptist, LA","42","16.1%","54","19.0%","38.5","0.1%"
"Assumption, LA","47","16.1%","38","17.3%","42.0","-6.4%"
"Adams, MS","52","22.4%","-","10.0%","42.1","1.8%"
"Adams, CO","23","3.6%","53","37.6%","35.1","13.9%"
"Adams, NE","38","6.8%","-","16.6%","38.8","-0.1%"
"Adams, IL","56","8.2%","-","19.8%","41.1","0.0%"
"Lee, AR","42","28.7%","-","0.0%","41.9","-15.0%"
"Lee, TX","31","15.1%","-","26.3%","41.4","2.5%"
"Lee, IA","42","9.5%","-","16.8%","43.7","-2.7%"
"Gasconade, MO","49","20.5%","-","17.3%","46.3","-7.3%"
"Audrain, MO","54","14.9%","-","18.4%","40.3","-2.8%"
"Osage, KS","51","12.7%","53","25.8%","42.8","-3.7%"
"Osage, OK","44","13.7%","39","27.5%","43.3","-8.8%"
"Osage, MO","47","20.2%","31","15.3%","40.8","-1.9%"
"Scotland, MO","49","30.3%","-","0.0%","36.3","-6.1%"
"Moniteau, MO","52","6.5%","33","31.5%","38.0","0.0%"
"Howard, TX","35","14.8%","-","21.6%","37.0","6.4%"
"Howard, AR","39","16.1%","-","15.6%","39.4","-1.6%"
"Howard, MO","38","20.8%","56","41.3%","38.3","-4.5%"
"Linn, KS","42","17.0%","46","31.5%","45.5","-7.3%"
"Linn, MO","42","20.0%","-","22.6%","42.4","-6.1%"
"Harrison, TX","45","10.9%","66","27.3%","38.8","4.7%"
"Harrison, MO","40","23.8%","-","0.0%","40.9","-8.3%"
"Ringgold, IA","54","30.1%","-","10.0%","44.6","2.1%"
"Platte, MO","45","5.2%","51","18.1%","38.4","11.5%"
"Dent, MO","45","16.9%","-","26.9%","43.8","-6.5%"
"Prairie, AR","52","20.3%","-","0.0%","45.8","-9.6%"
"Lonoke, AR","42","5.7%","61","26.5%","39.9","4.8%"
"Taney, MO","35","25.8%","46","26.3%","42.0","-2.6%"
"Sebastian, AR","46","10.8%","60","30.3%","38.5","1.1%"
"Sequoyah, OK","48","16.8%","38","24.3%","40.6","-4.8%"
"Bourbon, KS","57","14.7%","-","13.1%","38.8","-5.0%"
"Latimer, OK","40","17.7%","-","12.9%","41.5","-6.3%"
"Labette, KS","49","15.2%","-","13.3%","41.4","-5.5%"
"Desha, AR","33","18.2%","-","34.7%","41.2","-7.7%"
