"Name","Sale Inventory Growth (YoY)","Sale Inventory Growth (MoM)","Home Sales Growth (YoY)","Price Cut %","Population Growth","Cap Rate"
"De Soto, LA","66.6%","0.6%","30.0%","28.3%","-1.1%","5.8%"
"Bossier, LA","49.7%","3.3%","-8.0%","23.4%","2.0%","7.2%"
"Pointe Coupee, LA","35.3%","4.6%","-50.0%","14.2%","-7.7%","6.6%"
"Acadia, LA","7.7%","8.2%","4.1%","28.5%","-8.5%","8.2%"
"Shawnee, KS","5.0%","-6.1%","-15.2%","25.7%","0.1%","5.6%"
"Republic, KS","60.0%","0.0%","0.0%","0.0%","-0.5%","-"
"Harlan, NE","7.6%","3.6%","0.0%","0.0%","-12.5%","-"
"Rogers, OK","14.7%","1.7%","-6.8%","19.5%","8.9%","5.5%"
"Tulsa, OK","23.1%","9.3%","2.0%","27.1%","5.3%","6.4%"
"Murray, OK","14.5%","8.0%","-23.5%","19.0%","-0.4%","-"
"Noble, OK","18.0%","20.0%","-55.5%","16.3%","-4.3%","-"
"Grady, OK","28.9%","2.7%","2.3%","20.4%","2.0%","4.9%"
"Kingfisher, OK","108.7%","-1.3%","-25.0%","21.7%","-2.1%","-"
"Barber, KS","-28.0%","-14.2%","100.0%","33.3%","-12.2%","-"
"Choctaw, OK","30.8%","3.9%","-40.0%","12.5%","-3.9%","-"
"Van Zandt, TX","27.1%","2.5%","-8.3%","28.2%","12.7%","6.3%"
"Navarro, TX","22.8%","-2.8%","-8.8%","28.2%","10.6%","6.1%"
"Hill, TX","38.9%","8.3%","-14.2%","29.7%","3.5%","4.0%"
"Bell, TX","25.4%","7.4%","-8.0%","25.5%","10.5%","5.3%"
"Parker, TX","27.4%","8.5%","-7.4%","36.0%","25.3%","3.2%"
"Palo Pinto, TX","27.5%","4.4%","-34.0%","20.8%","2.1%","-"
"Harris, TX","37.3%","6.7%","-6.8%","24.7%","2.9%","5.5%"
"Goliad, TX","12.8%","7.3%","-66.6%","16.6%","-5.7%","2.3%"
"Kendall, TX","26.7%","2.2%","25.0%","30.9%","11.8%","2.3%"
"Gillespie, TX","47.7%","8.3%","16.1%","15.3%","3.7%","4.1%"
"La Salle, TX","-5.8%","33.3%","-50.0%","0.0%","-6.2%","-"
"Frio, TX","-11.1%","21.2%","-33.3%","16.6%","-7.0%","-"
"Jim Hogg, TX","0.0%","-21.0%","100.0%","0.0%","-9.1%","-"
"Ness, KS","-5.8%","0.0%","0.0%","40.0%","-10.0%","-"
"Greeley, KS","0.0%","-40.0%","-","0.0%","8.0%","-"
"Roger Mills, OK","42.8%","5.2%","0.0%","0.0%","-8.8%","-"
"Meade, KS","-4.0%","-7.6%","0.0%","26.6%","-7.3%","-"
"Donley, TX","0.0%","15.1%","-66.6%","19.0%","-3.2%","-"
"Hutchinson, TX","82.3%","-1.5%","14.2%","31.0%","-5.3%","-"
"Morton, KS","46.6%","15.7%","400.0%","0.0%","-6.7%","-"
"Prowers, CO","26.0%","0.0%","75.0%","11.4%","-1.0%","-"
"Dallam, TX","47.3%","19.1%","0.0%","28.5%","-0.8%","-"
"Stonewall, TX","-33.3%","-20.0%","0.0%","0.0%","-10.1%","-"
"Scurry, TX","0.0%","1.3%","100.0%","17.0%","-3.5%","6.9%"
"Lamb, TX","86.6%","5.0%","40.0%","34.0%","-2.5%","-"
"Terrell, TX","0.0%","25.0%","0.0%","0.0%","-1.2%","-"
"Las Animas, CO","68.0%","3.9%","21.4%","20.6%","1.5%","6.2%"
"Alamosa, CO","18.5%","-1.5%","-11.1%","18.1%","0.4%","-"
"Hinsdale, CO","15.7%","0.0%","-33.3%","15.3%","6.9%","-"
"Doña Ana, NM","19.1%","7.9%","-21.9%","20.3%","3.5%","5.3%"
"Cibola, NM","58.3%","-1.7%","-40.0%","11.2%","0.3%","-"
"Navajo, AZ","0.8%","21.6%","23.0%","23.6%","-1.1%","5.2%"
"St. Louis, MO","8.2%","6.2%","2.0%","24.1%","-6.9%","8.1%"
"St. Louis, MO","26.8%","5.7%","1.7%","21.6%","-0.9%","5.7%"
"Ste. Genevieve, MO","12.7%","-15.0%","-31.2%","19.6%","3.8%","-"
"Tunica, MS","66.6%","0.0%","-83.3%","0.0%","-5.7%","9.5%"
"Rankin, MS","7.2%","4.6%","-18.0%","18.4%","4.2%","7.4%"
"Sharkey, MS","-75.0%","0.0%","0.0%","0.0%","-14.6%","-"
"Plaquemines, LA","40.1%","4.0%","-17.6%","25.0%","-1.2%","9.3%"
"St. Charles, MO","26.1%","8.4%","13.1%","18.8%","4.3%","5.2%"
"St. Charles, LA","22.2%","0.7%","-31.7%","25.2%","-1.6%","7.2%"
"Ralls, MO","-4.1%","-6.1%","14.2%","22.2%","1.7%","-"
"Macon, MO","-49.4%","-20.6%","0.0%","10.0%","-0.5%","-"
"Chariton, MO","-48.3%","-5.8%","-33.3%","0.0%","-1.8%","-"
"Buchanan, MO","27.2%","9.7%","-4.0%","27.2%","-6.3%","5.4%"
"Faulkner, AR","22.7%","-0.4%","5.3%","18.5%","4.1%","5.4%"
"Conway, AR","-13.6%","-2.3%","0.0%","12.9%","-0.1%","-"
"Le Flore, OK","26.0%","10.0%","-8.1%","26.9%","-2.3%","-"
"West Carroll, LA","17.6%","-13.0%","-25.0%","26.6%","-13.9%","-"
"Concordia, LA","10.8%","2.0%","60.0%","7.0%","-8.4%","-"
"Drew, AR","19.1%","11.5%","400.0%","6.2%","-7.3%","-"
"Avoyelles, LA","-20.8%","-4.6%","-50.0%","22.4%","-4.1%","-"
"Bienville, LA","30.7%","0.0%","133.3%","13.7%","-6.5%","-"
"Little River, AR","-6.3%","25.7%","-85.7%","13.3%","-3.6%","7.9%"
"Camp, TX","11.9%","5.3%","40.0%","27.4%","-1.2%","-"
"Trinity, TX","-1.8%","11.8%","-47.3%","23.6%","-4.9%","-"
"Terrebonne, LA","15.6%","1.9%","22.7%","16.6%","-6.6%","9.0%"
"Vermilion, LA","-17.4%","2.9%","-40.0%","22.3%","-4.7%","8.3%"
"Atchison, MO","20.0%","-14.2%","200.0%","0.0%","-1.0%","-"
"Atchison, KS","12.2%","8.4%","-38.4%","15.0%","-0.9%","7.4%"
"Lyon, KS","109.8%","15.3%","15.3%","30.7%","-3.4%","3.4%"
"Wabaunsee, KS","-21.2%","8.3%","0.0%","18.1%","1.0%","3.5%"
"Gage, NE","132.5%","2.0%","27.2%","17.7%","0.2%","-"
"Cloud, KS","15.7%","11.3%","-50.0%","6.6%","-0.9%","-"
"Jewell, KS","33.3%","0.0%","0.0%","30.7%","-0.2%","-"
"Russell, KS","18.3%","1.7%","-25.0%","11.1%","-3.7%","-"
"Rooks, KS","-48.3%","-30.4%","50.0%","30.7%","-4.8%","-"
"Nowata, OK","26.6%","11.7%","-50.0%","29.6%","-9.5%","-"
"Okmulgee, OK","45.8%","7.3%","0.0%","28.2%","-5.0%","9.4%"
"Elk, KS","-25.0%","-45.4%","33.3%","0.0%","-3.8%","-"
"Creek, OK","17.6%","9.2%","-2.8%","33.6%","2.4%","6.2%"
"Pontotoc, OK","29.4%","4.1%","-2.5%","17.9%","-0.5%","6.2%"
"Sumner, KS","-38.1%","-10.3%","15.7%","28.5%","-3.5%","6.7%"
"Blaine, OK","-25.9%","8.1%","-20.0%","12.1%","-10.7%","-"
"Woods, OK","12.3%","-15.2%","100.0%","6.2%","-5.5%","-"
"Limestone, TX","50.2%","10.8%","-38.0%","24.4%","-5.6%","-"
"Rockwall, TX","50.6%","10.6%","11.1%","31.4%","30.4%","5.1%"
"Grayson, TX","42.5%","1.9%","-12.8%","28.2%","9.6%","5.3%"
"McLennan, TX","28.7%","12.2%","-3.0%","28.8%","5.4%","5.9%"
"Denton, TX","60.5%","11.7%","-8.7%","36.3%","17.3%","3.5%"
"Carter, MO","44.1%","29.1%","-50.0%","10.8%","-14.9%","-"
"Carter, OK","-7.7%","-2.5%","52.9%","19.1%","-0.3%","7.9%"
"Cooke, TX","11.2%","6.2%","38.8%","32.8%","7.3%","4.2%"
"Montague, TX","36.2%","8.2%","-35.0%","26.8%","6.1%","-"
"Hood, TX","51.0%","8.7%","13.7%","34.9%","19.1%","4.8%"
"Lampasas, TX","13.5%","-1.8%","-28.5%","32.4%","7.8%","2.7%"
"Fort Bend, TX","49.9%","7.6%","8.0%","25.2%","16.3%","5.0%"
"Austin, TX","32.4%","10.0%","55.1%","24.5%","3.8%","2.5%"
"Burleson, TX","7.4%","10.7%","-5.8%","18.1%","2.5%","4.9%"
"Aransas, TX","32.8%","-18.3%","17.5%","23.4%","-1.2%","3.7%"
"Gonzales, TX","19.2%","6.5%","-70.0%","11.1%","-4.3%","-"
"Travis, TX","24.5%","14.1%","-13.8%","36.1%","6.9%","2.8%"
"Starr, TX","23.8%","-2.2%","25.0%","13.2%","3.1%","-"
"Wallace, KS","200.0%","-25.0%","0.0%","0.0%","-7.3%","-"
"Ford, KS","78.0%","-5.2%","-33.3%","16.8%","-1.0%","-"
"Swisher, TX","56.8%","15.9%","0.0%","25.0%","-6.7%","-"
"Randall, TX","0.5%","-1.3%","-4.8%","26.5%","8.7%","5.5%"
"Dickens, TX","214.2%","266.6%","0.0%","0.0%","-25.9%","-"
"Garza, TX","-3.6%","-3.6%","-66.6%","0.0%","-13.5%","8.7%"
"Hale, TX","56.5%","-13.6%","35.2%","19.7%","-5.4%","-"
"Sutton, TX","31.0%","0.0%","-50.0%","21.0%","-14.4%","-"
"Elbert, CO","64.1%","9.4%","32.6%","31.8%","7.9%","2.2%"
"Denver, CO","52.3%","15.8%","-6.2%","41.7%","0.0%","3.6%"
"Broomfield, CO","59.3%","28.4%","-21.9%","38.6%","10.9%","3.5%"
"Lake, CO","15.3%","12.5%","0.0%","25.3%","-2.2%","7.5%"
"Ouray, CO","78.1%","15.2%","40.0%","13.9%","6.3%","-"
"Rio Grande, CO","20.3%","7.5%","16.6%","18.6%","0.3%","-"
"Archuleta, CO","19.9%","17.7%","19.0%","21.7%","6.3%","3.7%"
"Chaves, NM","-10.1%","-2.0%","27.9%","16.0%","-0.3%","9.2%"
"Presidio, TX","10.2%","3.5%","-66.6%","6.7%","-15.1%","-"
"Duchesne, UT","9.2%","13.6%","-25.0%","21.5%","-1.4%","-"
"McKinley, NM","113.0%","28.9%","-54.5%","16.9%","-4.8%","-"
"Cochise, AZ","-0.7%","-0.3%","18.8%","20.0%","-1.6%","5.8%"
"Santa Cruz, AZ","52.1%","2.2%","-27.2%","19.8%","3.4%","7.4%"
"Mississippi, AR","1.4%","-0.9%","-25.0%","8.7%","-7.1%","-"
"Simpson, MS","35.4%","-7.1%","-50.0%","13.0%","-4.6%","9.1%"
"Leflore, MS","32.5%","1.7%","-20.0%","16.6%","-7.9%","-"
"St. James, LA","-12.7%","-18.6%","14.2%","32.4%","-7.3%","7.1%"
"Lewis, MO","-11.1%","-20.0%","0.0%","0.0%","-0.8%","4.6%"
"Maries, MO","166.6%","9.8%","25.0%","10.0%","-5.0%","-"
"Grundy, MO","14.2%","3.2%","-83.3%","12.9%","-2.1%","-"
"Sharp, AR","39.9%","2.9%","-18.1%","10.9%","3.2%","-"
"Izard, AR","16.3%","3.0%","-45.4%","19.6%","2.2%","-"
"Barry, MO","24.2%","6.4%","-20.5%","22.4%","-1.8%","-"
"Benton, MO","36.6%","13.9%","-3.5%","28.7%","4.7%","-"
"Benton, AR","20.9%","7.7%","2.3%","20.8%","14.0%","5.4%"
"Delaware, OK","46.7%","7.5%","35.2%","22.3%","-2.6%","-"
"Richland, LA","34.6%","6.4%","0.0%","17.7%","-2.7%","7.4%"
"LaSalle, LA","-36.4%","-18.1%","266.6%","0.0%","-0.9%","-"
"Natchitoches, LA","-7.3%","-3.0%","-8.6%","15.8%","-4.9%","-"
"Columbia, AR","29.5%","12.5%","50.0%","12.6%","-5.7%","-"
"Hempstead, AR","56.6%","2.1%","0.0%","5.7%","-10.1%","-"
"Sabine, LA","18.7%","2.3%","0.0%","23.5%","-8.3%","-"
"Sabine, TX","24.4%","-9.3%","22.2%","23.5%","-4.3%","-"
"Rusk, TX","53.1%","2.3%","-17.1%","25.7%","-1.8%","6.5%"
"McCurtain, OK","17.2%","0.7%","35.2%","18.8%","-6.4%","-"
"St. Landry, LA","-7.4%","5.0%","-20.4%","19.1%","-1.5%","-"
"Woodson, KS","41.1%","9.0%","100.0%","25.0%","-1.6%","-"
"Otoe, NE","55.0%","10.7%","9.0%","20.3%","1.1%","-"
"Morris, TX","88.2%","2.6%","-69.2%","22.0%","-3.3%","-"
"Morris, KS","61.5%","31.2%","400.0%","48.0%","-3.1%","-"
"Dickinson, KS","-22.4%","20.0%","8.3%","10.3%","-3.0%","-"
"Harvey, KS","44.5%","14.0%","-12.8%","22.5%","-2.1%","5.4%"
"Kearney, NE","12.5%","63.6%","42.8%","0.0%","2.2%","6.0%"
"Phelps, MO","75.8%","2.6%","-11.6%","18.6%","0.3%","3.3%"
"Phelps, NE","-14.2%","0.0%","-33.3%","21.0%","-1.5%","-"
"Okfuskee, OK","51.0%","32.1%","-40.0%","18.6%","-6.6%","-"
"Garvin, OK","4.2%","-4.3%","26.6%","20.5%","-7.3%","-"
"Canadian, OK","19.5%","-0.0%","-13.9%","27.8%","21.7%","6.5%"
"Pratt, KS","-51.2%","-23.0%","-55.5%","26.6%","-4.8%","-"
"Rains, TX","14.4%","0.4%","-29.4%","21.3%","8.9%","-"
"Bryan, OK","56.6%","7.1%","4.8%","24.1%","3.2%","7.8%"
"Freestone, TX","-9.3%","11.5%","42.8%","26.1%","0.5%","-"
"Collin, TX","73.1%","19.7%","-3.5%","37.8%","18.9%","3.3%"
"Jack, TX","27.2%","7.6%","80.0%","32.2%","-2.4%","-"
"San Saba, TX","17.0%","0.0%","-33.3%","14.8%","-2.6%","-"
"Eastland, TX","19.0%","-4.0%","18.1%","32.6%","-2.3%","-"
"Tillman, OK","120.0%","18.9%","100.0%","25.8%","-7.2%","-"
"Wilbarger, TX","60.8%","5.7%","0.0%","19.0%","-1.5%","-"
"Grimes, TX","0.9%","4.4%","-24.4%","20.8%","9.9%","5.6%"
"Lavaca, TX","14.5%","-5.9%","100.0%","15.3%","2.6%","-"
"Fayette, TX","24.5%","3.1%","35.7%","20.3%","-1.1%","-"
"Live Oak, TX","17.7%","-22.7%","0.0%","22.2%","-5.6%","-"
"Comal, TX","15.5%","8.1%","-10.8%","29.6%","30.7%","3.5%"
"Duval, TX","-26.6%","10.0%","-50.0%","0.0%","-13.4%","-"
"Kerr, TX","29.3%","7.4%","-12.2%","23.9%","3.5%","4.4%"
"Trego, KS","36.0%","6.2%","0.0%","0.0%","-2.7%","-"
"Norton, KS","125.0%","38.4%","-50.0%","0.0%","-1.7%","-"
"Frontier, NE","77.7%","14.2%","-33.3%","40.0%","-1.8%","-"
"Sheridan, KS","-66.6%","-60.0%","0.0%","0.0%","-2.5%","-"
"Finney, KS","6.9%","12.8%","56.2%","27.0%","2.8%","-"
"Hayes, NE","200.0%","-14.2%","-","0.0%","-9.4%","-"
"Kearny, KS","-33.3%","60.0%","0.0%","0.0%","-0.5%","-"
"Hamilton, TX","54.3%","0.0%","66.6%","18.8%","0.6%","-"
"Hamilton, KS","83.3%","4.7%","0.0%","33.3%","-5.0%","-"
"Wheeler, TX","12.8%","-8.3%","-50.0%","13.7%","-10.5%","-"
"Hemphill, TX","9.0%","50.0%","-50.0%","0.0%","-18.4%","-"
"Lipscomb, TX","-12.5%","-6.6%","0.0%","0.0%","-14.5%","-"
"Stevens, KS","-9.0%","5.2%","-66.6%","28.5%","-8.3%","-"
"Hansford, TX","47.3%","-9.6%","0.0%","0.0%","-6.5%","-"
"Carson, TX","55.5%","-1.7%","-22.2%","10.5%","-3.8%","8.0%"
"Armstrong, TX","100.0%","-5.8%","0.0%","40.0%","-1.7%","5.7%"
"Moore, TX","-2.3%","3.8%","27.2%","11.7%","-2.6%","-"
"Potter, TX","26.8%","2.7%","3.1%","29.7%","-4.1%","10.1%"
"Castro, TX","10.0%","-31.2%","50.0%","0.0%","-5.8%","-"
"Parmer, TX","55.5%","3.6%","-50.0%","20.0%","-1.0%","-"
"Coke, TX","-26.5%","0.0%","0.0%","0.0%","1.2%","-"
"Glasscock, TX","0.0%","0.0%","-","0.0%","-25.1%","-"
"Reagan, TX","33.3%","-33.3%","-50.0%","0.0%","-13.1%","-"
"Gaines, TX","25.6%","11.7%","42.8%","31.4%","7.7%","-"
"Ector, TX","14.1%","5.3%","-29.3%","38.6%","1.4%","6.6%"
"Crane, TX","50.0%","14.2%","-50.0%","28.5%","-4.4%","-"
"Real, TX","43.9%","2.6%","-50.0%","6.4%","-16.7%","-"
"Kinney, TX","-11.8%","0.0%","-50.0%","0.0%","-14.5%","-"
"Crockett, TX","0.0%","20.0%","0.0%","0.0%","-20.6%","-"
"Crowley, CO","27.2%","3.6%","-75.0%","0.0%","1.8%","-"
"Clear Creek, CO","140.4%","49.6%","-8.3%","23.9%","-0.2%","2.3%"
"Eagle, CO","51.4%","-1.8%","-33.9%","9.0%","1.8%","3.1%"
"De Baca, NM","40.0%","16.6%","0.0%","0.0%","-23.3%","-"
"Torrance, NM","-3.3%","-4.9%","-","18.6%","-1.9%","6.2%"
"Grand, CO","43.1%","13.5%","-22.0%","18.2%","4.8%","4.7%"
"Grand, UT","17.7%","2.2%","-25.0%","18.1%","0.8%","-"
"Dolores, CO","7.1%","42.8%","300.0%","0.0%","29.5%","-"
"Macoupin, IL","11.4%","14.9%","13.5%","26.0%","-2.5%","7.7%"
"Bollinger, MO","83.3%","15.7%","33.3%","27.5%","-13.7%","4.6%"
"Dunklin, MO","29.7%","-0.5%","-15.0%","19.2%","-8.6%","-"
"Grenada, MS","8.0%","0.9%","-85.7%","11.4%","0.3%","-"
"Panola, TX","6.9%","-2.1%","44.4%","22.7%","-3.4%","-"
"Panola, MS","11.4%","-6.2%","-26.6%","20.0%","-3.7%","-"
"Yazoo, MS","8.8%","5.7%","16.6%","26.0%","-4.0%","12.4%"
"Amite, MS","-3.4%","-6.6%","33.3%","0.0%","1.1%","-"
"Clark, AR","-12.2%","3.0%","110.0%","18.3%","-4.4%","-"
"Clark, KS","66.6%","-9.0%","-50.0%","0.0%","-3.2%","-"
"Clark, MO","180.0%","55.5%","100.0%","21.0%","-1.7%","-"
"Callaway, MO","50.8%","8.8%","-8.1%","24.4%","-0.6%","3.8%"
"Boone, AR","36.0%","0.2%","10.2%","23.0%","1.6%","-"
"Boone, MO","22.6%","7.1%","-2.6%","22.3%","5.2%","4.4%"
"Adair, OK","-7.2%","4.6%","-45.4%","12.3%","-11.3%","-"
"Adair, MO","35.0%","5.0%","-7.4%","13.8%","-0.3%","4.8%"
"Sullivan, MO","-17.4%","6.1%","-20.0%","26.6%","-6.5%","-"
"Hickory, MO","38.5%","8.6%","100.0%","15.0%","-9.2%","-"
"Wayne, MO","29.5%","9.5%","33.3%","13.5%","-17.7%","-"
"Wayne, UT","75.0%","7.6%","-33.3%","0.0%","-5.0%","-"
"Wayne, IA","62.1%","17.6%","0.0%","9.3%","1.6%","-"
"Daviess, MO","-16.4%","10.0%","-42.8%","17.0%","1.7%","-"
"Bates, MO","63.8%","0.8%","60.0%","27.5%","-1.5%","4.7%"
"Gentry, MO","11.1%","11.1%","-75.0%","22.2%","-6.6%","-"
"Independence, AR","-16.5%","-8.7%","46.6%","15.5%","2.2%","6.5%"
"Texas, OK","-16.6%","-16.6%","-66.6%","7.0%","-1.1%","-"
"Texas, MO","52.2%","4.2%","-12.5%","11.5%","-2.7%","-"
"Searcy, AR","74.3%","10.5%","-33.3%","15.3%","-0.7%","-"
"Christian, MO","14.5%","-1.0%","-6.3%","21.2%","8.5%","5.0%"
"Tensas, LA","63.6%","12.5%","0.0%","0.0%","-14.4%","-"
"Bradley, AR","125.0%","-3.5%","100.0%","12.1%","-5.4%","-"
"St. Martin, LA","24.7%","-0.8%","-33.3%","24.8%","-4.0%","8.8%"
"West Baton Rouge, LA","-17.0%","-6.0%","-33.3%","14.8%","6.9%","5.9%"
"West Feliciana, LA","13.3%","11.4%","-62.5%","26.6%","0.0%","3.6%"
"Chambers, TX","-16.7%","7.5%","24.3%","22.9%","22.0%","5.4%"
"McPherson, KS","-14.9%","6.5%","-57.1%","24.2%","5.2%","5.3%"
"Barton, MO","20.0%","-6.4%","-60.0%","7.6%","-1.3%","-"
"Barton, KS","198.1%","17.9%","-20.0%","20.0%","-5.6%","7.1%"
"Wagoner, OK","20.7%","3.8%","7.8%","21.6%","11.4%","5.6%"
"Chautauqua, KS","200.0%","4.3%","-50.0%","25.0%","0.0%","-"
"Payne, OK","-8.5%","1.6%","-7.5%","14.7%","1.5%","6.2%"
"Comanche, TX","-1.6%","-6.6%","27.2%","20.1%","2.1%","-"
"Comanche, OK","28.2%","2.8%","0.0%","11.2%","0.9%","8.8%"
"Comanche, KS","-100.0%","-100.0%","0.0%","0.0%","-5.3%","-"
"Smith, KS","54.8%","6.6%","-50.0%","0.0%","-2.2%","-"
"Smith, TX","38.9%","7.3%","-4.3%","27.0%","6.5%","5.9%"
"Lamar, TX","38.0%","-2.0%","29.7%","29.4%","1.7%","6.6%"
"Leon, TX","4.7%","-2.9%","-30.7%","18.1%","-6.0%","-"
"Young, TX","9.6%","6.2%","12.5%","23.8%","-0.8%","-"
"Callahan, TX","21.4%","2.0%","-5.5%","15.7%","1.7%","4.8%"
"Matagorda, TX","27.5%","10.8%","8.0%","23.8%","-1.2%","3.2%"
"Wharton, TX","27.6%","2.6%","20.0%","21.4%","0.2%","6.3%"
"Bastrop, TX","26.2%","12.4%","-23.3%","23.6%","27.3%","4.1%"
"Bee, TX","5.2%","-10.3%","-46.1%","27.3%","-5.1%","-"
"Jim Wells, TX","9.7%","2.3%","6.2%","9.3%","-5.6%","-"
"Llano, TX","28.0%","4.5%","-26.3%","23.8%","6.6%","3.0%"
"Medina, TX","18.8%","8.8%","1.8%","27.5%","6.2%","3.1%"
"Willacy, TX","51.7%","1.1%","66.6%","14.5%","-7.0%","-"
"Hodgeman, KS","-33.3%","100.0%","0.0%","0.0%","-9.0%","-"
"Gosper, NE","41.1%","4.3%","200.0%","28.5%","-4.2%","-"
"Gove, KS","-37.5%","-37.5%","100.0%","0.0%","6.7%","-"
"Red Willow, NE","57.4%","-3.9%","0.0%","20.3%","-1.8%","-"
"Dundy, NE","100.0%","33.3%","-","28.5%","-10.4%","-"
"Kit Carson, CO","-13.0%","11.1%","100.0%","0.0%","-8.1%","-"
"Harper, KS","56.7%","3.5%","-33.3%","11.4%","-4.0%","-"
"Harper, OK","350.0%","-14.2%","0.0%","0.0%","-16.0%","-"
"Beckham, OK","37.7%","3.3%","-12.0%","14.7%","-1.8%","-"
"Harmon, OK","33.3%","0.0%","100.0%","0.0%","-9.8%","-"
"Cimarron, OK","-33.3%","50.0%","-","0.0%","2.6%","-"
"Hartley, TX","6.3%","2.0%","0.0%","16.0%","-7.9%","-"
"Deaf Smith, TX","2.5%","-0.8%","-22.2%","15.3%","-2.1%","-"
"Martin, TX","-36.0%","23.0%","0.0%","0.0%","-6.8%","6.7%"
"Upton, TX","69.2%","57.1%","-66.6%","36.3%","-11.1%","-"
"Yoakum, TX","-11.8%","8.3%","-66.6%","0.0%","-11.4%","-"
"Bailey, TX","9.0%","26.3%","100.0%","0.0%","-0.6%","-"
"Winkler, TX","-7.6%","14.2%","-60.0%","30.7%","-3.3%","-"
"Kimble, TX","29.7%","4.3%","0.0%","14.8%","-1.2%","-"
"Gilpin, CO","10.8%","54.7%","-12.5%","32.0%","-0.7%","2.8%"
"Saguache, CO","19.6%","10.7%","-25.0%","25.9%","0.6%","-"
"Colfax, NM","45.3%","18.1%","27.2%","11.4%","-0.1%","-"
"Guadalupe, TX","19.4%","8.4%","6.1%","33.1%","15.1%","5.5%"
"Taos, NM","25.2%","4.4%","400.0%","15.3%","4.9%","4.6%"
"Santa Fe, NM","51.3%","23.4%","3.5%","21.8%","3.9%","3.9%"
"Sandoval, NM","37.9%","15.0%","-","31.0%","7.4%","5.9%"
"Eddy, NM","50.0%","2.3%","1.7%","15.1%","6.4%","10.2%"
"Utah, UT","42.8%","6.8%","-8.6%","32.9%","15.5%","3.7%"
"Pinal, AZ","9.7%","-3.0%","20.7%","33.9%","8.2%","4.8%"
"McDonough, IL","17.3%","6.0%","9.0%","13.6%","-12.2%","7.9%"
"Poinsett, AR","29.2%","12.4%","0.0%","17.2%","-5.4%","9.6%"
"Iron, MO","54.1%","4.2%","-57.1%","16.0%","-7.2%","-"
"Orleans, LA","4.0%","2.6%","-18.9%","21.9%","-6.8%","7.8%"
"East Feliciana, LA","29.6%","11.1%","225.0%","9.5%","-0.6%","5.4%"
"Hancock, IL","22.5%","5.4%","10.0%","27.2%","-3.7%","-"
"Henry, MO","60.2%","7.3%","-4.5%","23.6%","1.9%","2.9%"
"Cole, MO","28.1%","-1.2%","-6.4%","16.0%","0.6%","3.2%"
"Cooper, MO","27.5%","-6.3%","-27.2%","29.0%","-4.4%","4.3%"
"Putnam, MO","10.7%","7.4%","0.0%","9.3%","-2.9%","-"
"Mercer, MO","52.3%","45.4%","33.3%","19.0%","-4.4%","-"
"Caldwell, LA","17.6%","14.2%","50.0%","0.0%","-4.3%","-"
"Caldwell, TX","26.7%","6.0%","-21.5%","27.5%","13.9%","3.2%"
"Caldwell, MO","68.1%","8.8%","133.3%","15.6%","-1.7%","3.3%"
"Andrew, MO","72.9%","4.9%","-28.5%","24.2%","3.9%","3.4%"
"Leavenworth, KS","9.1%","20.5%","-4.6%","21.8%","2.6%","4.1%"
"Page, IA","22.7%","13.7%","-18.1%","18.8%","-1.2%","-"
"Shannon, MO","3.5%","11.5%","100.0%","11.7%","-13.4%","-"
"Oregon, MO","19.6%","1.6%","-60.0%","10.0%","-18.6%","-"
"Douglas, CO","63.0%","26.8%","12.8%","38.5%","11.9%","3.3%"
"Douglas, KS","23.2%","8.7%","4.8%","14.0%","-0.7%","3.9%"
"Douglas, MO","40.2%","8.7%","62.5%","9.5%","-11.3%","-"
"Ozark, MO","88.3%","4.5%","-66.6%","17.2%","-5.0%","-"
"Baxter, AR","32.6%","6.5%","-15.3%","28.2%","2.2%","-"
"Wright, MO","46.0%","8.8%","-20.8%","15.7%","2.3%","-"
"Garland, AR","32.3%","8.1%","-21.0%","23.5%","0.6%","6.1%"
"Vernon, LA","26.2%","2.0%","-32.0%","16.4%","-6.3%","9.1%"
"Vernon, MO","-8.4%","0.0%","-48.0%","19.0%","-4.7%","-"
"McDonald, MO","29.8%","-6.3%","-66.6%","25.8%","2.9%","-"
"Craig, OK","18.6%","11.3%","0.0%","23.1%","-1.9%","-"
"Neosho, KS","82.9%","-3.3%","-18.1%","14.0%","-2.5%","-"
"Arkansas, AR","-5.0%","-2.2%","25.0%","9.3%","-7.4%","-"
"Wilkinson, MS","-18.1%","38.4%","0.0%","0.0%","-6.8%","-"
"Catahoula, LA","-5.8%","10.3%","-50.0%","44.4%","-11.6%","-"
"Claiborne, MS","27.2%","16.6%","100.0%","0.0%","-2.3%","-"
"Claiborne, LA","22.7%","-11.4%","200.0%","21.6%","-13.2%","-"
"Titus, TX","35.8%","9.5%","-35.7%","30.6%","-4.4%","-"
"St. Mary, LA","37.0%","3.3%","28.5%","30.1%","-6.3%","-"
"Lafayette, MO","-5.6%","-9.9%","34.4%","27.3%","1.1%","4.8%"
"Lafayette, AR","61.9%","6.2%","200.0%","22.2%","-10.1%","-"
"Lafayette, LA","15.7%","2.1%","2.0%","24.4%","2.8%","6.7%"
"Evangeline, LA","22.0%","9.3%","71.4%","30.7%","-4.3%","-"
"Liberty, TX","11.5%","2.4%","1.8%","29.3%","25.4%","5.6%"
"San Jacinto, TX","2.0%","5.1%","9.0%","26.6%","0.5%","5.0%"
