"Name","Days on Market","Days on Market Growth (YoY)","Home Value","Home Value Growth (YoY)","Inventory Surplus/Deficit","Population"
"Marion, MO","46","39.3%","$181,838","8.7%","18.8%","28,493"
"Marion, KS","54","-35.3%","$132,825","1.4%","22.4%","11,795"
"Clay, NE","75","64.8%","$171,561","5.1%","43.7%","6,084"
"Clay, AR","109","51.3%","$108,607","4.7%","85.9%","14,399"
"Clay, MO","46","15.0%","$315,014","1.8%","10.1%","259,772"
"Clay, TX","65","5.6%","$201,116","0.7%","80.0%","10,402"
"Clay, KS","52","-2.3%","$147,278","1.9%","-22.8%","8,071"
"Fillmore, NE","57","121.5%","$169,349","5.8%","48.5%","5,551"
"Thayer, NE","64","0.7%","$141,620","6.4%","141.3%","4,938"
"Nuckolls, NE","54","-22.1%","$107,431","-0.6%","51.3%","4,089"
"Stafford, KS","81","97.5%","$93,239","2.8%","-10.1%","4,004"
"Osborne, KS","106","18.2%","$78,199","11.2%","55.2%","3,473"
"Pawnee, OK","53","3.9%","$165,710","4.5%","18.7%","15,689"
"Pawnee, NE","45","-28.0%","$147,073","0.1%","33.3%","2,539"
"Pawnee, KS","82","-15.9%","$96,104","7.8%","5.9%","6,220"
"Greenwood, KS","63","7.6%","$86,951","2.9%","-43.9%","5,956"
"Hughes, OK","69","-12.1%","$106,564","3.7%","8.7%","13,411"
"Logan, AR","67","10.2%","$161,086","5.9%","-14.0%","21,240"
"Logan, OK","51","9.7%","$295,709","0.6%","73.1%","50,905"
"Hopkins, TX","62","-15.4%","$263,489","-3.0%","94.8%","37,351"
"Atoka, OK","55","-26.6%","$209,800","8.2%","23.8%","14,255"
"Fannin, TX","62","0.8%","$286,528","1.3%","104.1%","36,525"
"Johnston, OK","66","-9.5%","$145,719","3.2%","26.6%","10,334"
"Johnson, KS","49","-5.7%","$448,420","1.8%","-5.2%","622,237"
"Johnson, AR","68","7.5%","$178,386","1.1%","-6.8%","25,932"
"Johnson, NE","51","68.6%","$156,850","7.3%","83.3%","5,263"
"Johnson, MO","53","-2.7%","$272,006","0.5%","26.4%","54,331"
"Johnson, TX","53","8.1%","$346,956","-0.7%","74.8%","202,906"
"Jefferson, NE","57","72.7%","$139,724","3.6%","68.9%","7,155"
"Jefferson, KS","49","43.0%","$261,849","4.6%","43.8%","18,391"
"Jefferson, MO","36","18.0%","$280,492","3.3%","-36.8%","231,230"
"Jefferson, AR","65","-10.9%","$85,361","-3.0%","40.6%","63,661"
"Jefferson, OK","100","25.3%","$84,888","4.0%","15.4%","5,377"
"Stephens, OK","60","16.5%","$135,672","3.0%","-7.6%","43,314"
"Stephens, TX","89","2.3%","$155,450","-3.0%","52.6%","9,278"
"Coleman, TX","88","0.2%","$128,295","-5.2%","60.0%","7,765"
"Wichita, TX","54","-0.4%","$167,677","2.0%","80.6%","130,180"
"Childress, TX","125","122.2%","$104,552","2.8%","8.4%","6,772"
"Collingsworth, TX","131","-0.5%","$96,179","2.0%","100.0%","2,733"
"Ochiltree, TX","71","-40.3%","$115,872","-4.7%","2.8%","9,852"
"Seward, KS","66","21.0%","$142,329","3.9%","7.9%","21,640"
"Foard, TX","280","574.7%","$77,536","-15.3%","-53.3%","1,079"
"Jones, TX","81","22.7%","$139,524","-1.0%","47.0%","19,968"
"Fisher, TX","106","25.8%","$95,187","-7.2%","37.3%","3,661"
"Hampshire, WV","33","-26.5%","$249,352","7.2%","-16.6%","23,340"
"Augusta, VA","42","1.8%","$349,895","4.7%","-6.1%","78,247"
"Harrisonburg, VA","23","33.3%","$311,319","2.3%","-41.5%","51,492"
"Upshur, WV","55","75.8%","$152,555","6.8%","-22.6%","23,758"
"Wetzel, WV","44","8.6%","$108,349","3.0%","-10.2%","14,233"
"Muskingum, OH","48","62.7%","$202,686","5.3%","30.3%","86,305"
"Harnett, NC","52","19.7%","$291,308","1.5%","58.6%","141,477"
"Lynchburg, VA","42","27.2%","$244,463","2.2%","28.0%","79,535"
"Scotland, NC","69","69.3%","$136,813","-0.8%","31.7%","34,353"
"Roanoke, VA","39","9.8%","$323,811","4.0%","-7.3%","97,026"
"Roanoke, VA","43","32.8%","$215,469","2.9%","42.3%","97,171"
"Surry, NC","45","-1.6%","$212,886","4.6%","20.8%","71,462"
"York, SC","46","55.9%","$395,070","0.5%","50.5%","298,320"
"Smyth, VA","52","14.2%","$153,056","3.3%","22.2%","29,585"
"Watauga, NC","55","-3.1%","$513,472","1.5%","0.7%","54,607"
"Avery, NC","57","5.6%","$383,908","0.4%","8.8%","17,643"
"Mitchell, NC","52","26.8%","$234,966","2.2%","-21.7%","14,973"
"Charleston, SC","46","17.2%","$612,756","2.5%","4.4%","424,367"
"Marlboro, SC","51","12.7%","$84,891","-8.8%","-2.4%","26,285"
"Bulloch, GA","53","66.9%","$277,204","4.5%","7.6%","84,327"
"Edgefield, SC","103","31.2%","$251,935","3.1%","74.3%","26,508"
"Scioto, OH","35","-23.9%","$125,814","6.2%","-33.1%","71,969"
"Pickaway, OH","46","132.9%","$317,941","2.2%","39.4%","59,407"
"Dearborn, IN","42","-3.4%","$317,244","4.2%","-17.4%","50,828"
"Oldham, KY","31","-12.0%","$439,039","5.1%","6.5%","70,183"
"Bartholomew, IN","43","17.8%","$269,410","3.3%","19.6%","84,003"
"Breathitt, KY","83","-29.1%","$110,732","13.3%","-2.4%","13,438"
"Leslie, KY","193","2.6%","$77,332","15.4%","-60.0%","10,261"
"Rockcastle, KY","44","-4.8%","$167,245","10.3%","-2.3%","16,144"
"Murray, GA","61","58.4%","$241,356","3.8%","36.5%","40,282"
"Gordon, GA","52","39.6%","$274,905","2.5%","23.7%","58,336"
"Whitfield, GA","59","21.6%","$248,243","4.1%","43.5%","103,687"
"Catoosa, GA","51","9.0%","$290,237","1.4%","68.9%","68,910"
"Green, KY","66","9.0%","$172,158","10.6%","50.2%","11,278"
"Barren, KY","64","11.3%","$205,226","7.2%","40.0%","44,670"
"Edmonson, KY","68","-6.2%","$196,118","8.5%","58.3%","12,243"
"Wheeler, GA","121","-11.6%","$134,735","7.6%","66.0%","7,434"
"Baldwin, GA","69","63.1%","$205,511","1.4%","11.2%","43,669"
"Twiggs, GA","57","14.7%","$94,369","-2.5%","36.8%","7,869"
"Barrow, GA","45","15.3%","$352,916","1.6%","42.4%","92,792"
"Hall, GA","52","35.0%","$393,256","1.1%","15.4%","217,267"
"Schley, GA","27","-68.0%","$182,350","1.2%","51.3%","4,539"
"Terrell, GA","32","-47.9%","$109,741","5.4%","69.3%","8,941"
"Chambers, AL","54","-17.5%","$134,357","2.9%","6.1%","34,450"
"Crenshaw, AL","75","3.8%","$125,716","3.1%","-29.4%","13,144"
"Blount, TN","52","22.3%","$380,882","3.2%","50.4%","141,456"
"Blount, AL","56","25.1%","$234,208","3.0%","35.0%","59,292"
"Vanderburgh, IN","39","-7.1%","$193,013","4.5%","16.4%","179,810"
"Sangamon, IL","32","16.3%","$184,533","3.2%","-51.4%","193,491"
"Bond, IL","56","-8.6%","$152,487","1.8%","-32.7%","16,627"
"Menard, IL","41","127.7%","$197,094","3.3%","-45.8%","12,169"
"McCracken, KY","52","-15.1%","$189,223","9.7%","-9.3%","67,428"
"Crockett, TN","86","12.4%","$177,688","5.0%","106.3%","13,937"
"New Madrid, MO","71","-5.9%","$96,797","1.1%","37.0%","16,041"
"Albemarle, VA","42","9.0%","$549,397","4.5%","-10.1%","115,676"
"Mineral, WV","50","-37.3%","$189,439","5.3%","-16.4%","26,922"
"Indiana, PA","58","7.9%","$153,154","3.0%","-40.1%","83,094"
"Garrett, MD","62","11.7%","$335,387","1.7%","12.6%","28,713"
"Preston, WV","49","9.6%","$135,564","6.1%","-19.1%","34,204"
"Pocahontas, WV","87","38.1%","$173,658","7.8%","-17.1%","7,855"
"Beaver, PA","43","-15.8%","$185,488","0.7%","-1.6%","165,631"
"Kanawha, WV","44","12.1%","$147,597","5.7%","-44.2%","174,805"
"Wake, NC","43","32.3%","$498,476","-0.2%","50.2%","1,190,275"
"Pittsylvania, VA","39","-9.8%","$185,957","1.5%","-12.0%","60,148"
"Rockbridge, VA","63","92.3%","$307,610","3.2%","-40.4%","22,578"
"Alamance, NC","50","11.1%","$291,545","1.5%","67.3%","179,165"
"Buena Vista, VA","51","25.1%","$172,381","3.7%","-17.7%","6,612"
"Rockingham, VA","41","-5.7%","$353,332","2.6%","-3.6%","86,568"
"Rockingham, NC","56","13.1%","$187,775","1.3%","47.4%","92,518"
"Martinsville, VA","6","-","$112,031","14.2%","0.0%","13,584"
"Craig, VA","82","268.5%","$222,674","5.9%","-4.9%","4,881"
"Stokes, NC","53","23.2%","$238,921","4.7%","13.9%","44,889"
"Cabarrus, NC","43","26.4%","$387,279","0.0%","48.8%","240,016"
"Mecklenburg, NC","43","30.3%","$429,359","0.2%","52.2%","1,163,701"
"Wythe, VA","61","11.9%","$199,706","2.2%","-27.7%","28,219"
"Spartanburg, SC","44","4.7%","$274,851","2.0%","63.5%","356,698"
"Yancey, NC","54","7.5%","$312,975","2.9%","-20.9%","18,676"
"Horry, SC","68","10.5%","$321,582","-2.7%","49.0%","397,478"
"Dillon, SC","80","53.8%","$123,714","-0.0%","8.5%","28,031"
"Darlington, SC","58","0.0%","$139,521","2.2%","16.7%","62,754"
"Evans, GA","51","110.4%","$153,607","-3.5%","53.8%","10,740"
"Emanuel, GA","52","7.2%","$125,838","2.7%","22.8%","22,961"
"McDuffie, GA","61","-22.7%","$180,876","-0.4%","60.6%","21,687"
"Greenup, KY","46","-10.6%","$147,427","9.0%","-26.0%","35,639"
"Jay, IN","41","-1.7%","$154,337","5.9%","17.2%","20,281"
"Wabash, IL","74","20.3%","$121,664","7.5%","13.0%","11,199"
"Hendricks, IN","39","20.0%","$341,491","1.3%","33.6%","186,387"
"Magoffin, KY","38","-65.1%","$135,845","21.9%","126.8%","11,495"
"Cocke, TN","65","20.3%","$227,256","5.0%","54.4%","36,503"
"Owsley, KY","84","154.5%","$144,046","15.5%","41.1%","4,021"
"Boyle, KY","58","41.9%","$230,503","7.1%","23.3%","30,708"
"Grundy, TN","57","-10.9%","$192,871","4.2%","53.0%","13,665"
"Trousdale, TN","48","95.9%","$338,205","0.3%","88.2%","11,805"
"Jones, GA","53","59.0%","$242,733","3.6%","0.1%","28,526"
"Walton, GA","54","0.9%","$389,676","0.5%","36.4%","106,702"
"Vigo, IN","33","-37.1%","$157,064","6.7%","-2.6%","106,153"
"Edwards, IL","60","5.2%","$116,142","-2.1%","15.9%","6,118"
"Maury, TN","49","68.9%","$407,196","0.8%","66.9%","110,760"
"Muhlenberg, KY","66","16.3%","$145,087","14.2%","12.0%","30,712"
"Colbert, AL","62","25.2%","$194,927","2.9%","14.8%","57,648"
"Gallatin, KY","39","-34.1%","$229,945","5.1%","0.0%","8,749"
"Gallatin, IL","65","-65.5%","$87,527","-2.7%","-36.5%","4,857"
"Pope, IL","65","-39.5%","$170,967","-8.9%","-12.6%","3,757"
"Lake, TN","54","-19.4%","$111,274","-1.0%","34.5%","6,691"
"Tuscaloosa, AL","57","16.9%","$228,238","1.3%","3.2%","237,373"
"Oktibbeha, MS","65","12.5%","$272,250","5.2%","6.4%","51,473"
"Pontotoc, MS","77","29.1%","$188,701","4.7%","19.6%","31,312"
"Leake, MS","55","-29.4%","$163,164","5.5%","-11.1%","21,288"
"Somerset, PA","57","20.0%","$166,273","0.6%","-44.3%","72,197"
"Allegheny, PA","46","8.2%","$237,269","1.9%","3.3%","1,224,825"
"Tyler, WV","54","-17.2%","$106,163","4.0%","-17.5%","8,181"
"Appomattox, VA","52","0.0%","$274,991","2.1%","-14.2%","16,424"
"Robeson, NC","60","5.7%","$128,898","-0.1%","24.0%","117,365"
"Amherst, VA","50","78.5%","$253,880","3.4%","-36.3%","31,385"
"Chesterfield, SC","60","-10.1%","$157,648","0.3%","29.9%","43,575"
"Anson, NC","79","84.7%","$131,186","-3.5%","31.6%","21,903"
"Iredell, NC","48","26.3%","$385,522","0.8%","37.2%","199,710"
"Alleghany, VA","46","21.0%","$168,350","5.4%","23.5%","14,962"
"Alleghany, NC","61","49.6%","$268,725","4.0%","-13.3%","11,075"
"Alexander, IL","114","230.4%","$61,724","-5.4%","8.3%","5,042"
"Alexander, NC","62","57.9%","$254,775","4.5%","34.3%","36,440"
"Wyoming, WV","35","-64.8%","$54,095","0.3%","-1.5%","20,948"
"Buncombe, NC","46","16.4%","$473,987","1.2%","53.1%","275,901"
"Orangeburg, SC","78","-7.9%","$148,353","-1.6%","25.5%","82,820"
"Screven, GA","65","-6.5%","$170,669","0.9%","26.0%","14,057"
"Jenkins, GA","87","29.8%","$154,179","12.1%","52.3%","8,674"
"Carter, TN","51","18.6%","$234,791","3.6%","37.3%","56,462"
"Carter, KY","44","-20.0%","$155,209","14.1%","-45.0%","26,515"
"Lewis, WV","46","-28.9%","$126,782","0.7%","-32.5%","16,808"
"Lewis, TN","67","63.1%","$235,584","1.1%","56.7%","12,784"
"Lewis, KY","61","27.3%","$113,355","4.6%","8.7%","13,028"
"Menifee, KY","47","-6.0%","$166,869","12.0%","56.0%","6,203"
"Bath, VA","75","-19.8%","$210,492","2.2%","1.5%","4,123"
"Bath, KY","51","-57.4%","$176,043","10.0%","109.3%","12,812"
"Robertson, TN","36","23.0%","$375,404","-0.1%","73.0%","76,776"
"Robertson, KY","73","-30.1%","$175,432","6.4%","-13.5%","2,239"
"Darke, OH","48","-31.1%","$202,136","6.9%","-17.6%","51,655"
"Blackford, IN","49","-39.1%","$129,131","7.5%","40.0%","12,007"
"Decatur, TN","87","16.7%","$162,472","0.3%","35.7%","11,499"
"Decatur, IN","45","40.6%","$244,457","4.7%","19.1%","26,411"
"Jennings, IN","43","-12.6%","$214,045","3.3%","55.9%","27,584"
"Tippecanoe, IN","29","17.1%","$291,810","5.1%","27.2%","188,792"
"Estill, KY","51","9.6%","$130,648","8.2%","-14.7%","14,079"
"Loudon, TN","60","42.0%","$424,391","1.9%","76.7%","56,996"
"Bradley, TN","54","18.6%","$314,760","2.6%","30.0%","111,579"
"Rhea, TN","60","16.6%","$252,137","3.6%","12.3%","33,299"
"Adair, KY","65","9.7%","$166,557","9.3%","56.6%","19,016"
"Elbert, GA","58","9.4%","$162,760","3.2%","64.7%","19,725"
"Taliaferro, GA","198","364.7%","$154,694","-1.9%","146.1%","1,740"
"Bleckley, GA","52","18.8%","$165,795","4.1%","47.8%","12,414"
"Spalding, GA","55","25.0%","$237,353","-1.1%","62.5%","69,946"
"Talbot, GA","40","-75.2%","$169,513","-1.7%","9.4%","5,753"
"Coweta, GA","57","53.0%","$399,548","-0.4%","44.1%","155,892"
"Chattahoochee, GA","51","-80.3%","$128,549","5.7%","46.9%","9,181"
"Paulding, GA","45","18.4%","$349,279","-1.6%","41.9%","183,164"
"Barbour, WV","53","10.9%","$118,149","-1.0%","-44.3%","15,454"
"Barbour, AL","86","47.0%","$149,969","-0.8%","-4.2%","24,757"
"Posey, IN","55","-4.7%","$232,004","5.7%","20.0%","25,163"
"Trigg, KY","76","72.7%","$145,521","-1.8%","15.5%","14,211"
"Lyon, KY","77","61.9%","$172,987","10.5%","-13.4%","8,831"
"Saline, IL","48","-24.7%","$96,084","-5.2%","-55.4%","23,387"
"Weakley, TN","50","-38.6%","$179,075","4.9%","49.0%","32,959"
"Mississippi, MO","82","-23.1%","$98,589","1.1%","15.7%","12,079"
"Walker, GA","54","42.1%","$231,170","1.1%","59.2%","69,489"
"Walker, AL","66","69.0%","$114,733","-0.6%","-10.3%","64,886"
"Marengo, AL","92","7.2%","$137,792","-6.1%","-8.6%","19,027"
"Lafayette, MS","40","5.9%","$387,525","11.0%","-12.8%","56,920"
"Hardy, WV","38","-24.3%","$209,132","2.7%","-19.6%","14,236"
"Waynesboro, VA","37","7.3%","$278,544","3.0%","13.5%","22,574"
"Monongalia, WV","40","-11.6%","$253,160","1.4%","-42.3%","107,718"
"Columbiana, OH","52","-10.4%","$153,669","2.7%","-12.9%","100,182"
"Doddridge, WV","22","-49.4%","$122,378","3.6%","28.0%","7,767"
"Ritchie, WV","78","59.1%","$120,254","2.8%","19.2%","8,372"
"Guernsey, OH","47","13.2%","$154,048","2.6%","-3.4%","38,283"
"Wood, WV","38","-22.8%","$166,046","3.5%","-16.4%","83,052"
"Boyd, KY","54","13.8%","$131,584","7.4%","-36.3%","48,043"
"Durham, NC","42","18.3%","$410,953","-0.2%","78.6%","336,892"
"Botetourt, VA","38","-18.2%","$299,014","2.8%","2.4%","33,875"
"Greenbrier, WV","52","11.8%","$197,559","5.7%","-36.8%","32,688"
"Patrick, VA","48","-9.8%","$190,962","-2.8%","-35.5%","17,606"
"Lancaster, SC","45","39.5%","$382,249","1.0%","48.1%","108,215"
"Galax, VA","57","27.3%","$160,301","7.8%","-11.1%","6,698"
"Raleigh, WV","44","23.9%","$151,912","6.7%","-28.9%","72,356"
"Catawba, NC","49","25.9%","$286,961","2.4%","48.8%","164,645"
"McDowell, NC","53","-2.3%","$256,909","1.9%","59.1%","44,679"
"McDowell, WV","71","-21.5%","$35,534","-3.7%","15.1%","18,413"
"Mingo, WV","78","7.5%","$64,612","-1.4%","-6.2%","22,979"
"Martin, IN","82","-16.1%","$200,030","6.0%","32.4%","9,854"
"Martin, KY","57","0.8%","$122,025","17.4%","-26.5%","11,181"
"Florence, SC","54","11.4%","$195,938","2.4%","7.2%","137,214"
"Clarendon, SC","66","10.0%","$171,665","-1.1%","16.8%","31,037"
"Liberty, GA","50","35.1%","$245,262","3.9%","37.6%","69,210"
"Effingham, IL","37","-20.0%","$211,541","2.2%","-27.3%","34,505"
"Effingham, GA","50","25.7%","$340,274","3.6%","41.2%","71,541"
"Bryan, GA","53","85.9%","$406,049","3.2%","34.0%","46,681"
"McCormick, SC","70","7.6%","$307,374","5.1%","41.7%","9,701"
"Jeff Davis, GA","74","-18.2%","$129,059","-3.8%","-15.4%","14,838"
"Rowan, NC","51","26.2%","$271,318","0.4%","68.9%","151,661"
"Rowan, KY","43","-4.4%","$182,080","10.9%","9.5%","24,525"
"Auglaize, OH","43","11.6%","$225,432","5.9%","-35.2%","46,209"
"Switzerland, IN","54","-21.7%","$240,700","11.7%","-24.1%","9,914"
"Wells, IN","44","-0.5%","$237,095","7.3%","0.0%","28,261"
"Dubois, IN","39","-17.4%","$249,928","3.8%","-22.3%","43,563"
"Hawkins, TN","56","23.0%","$231,407","3.3%","32.4%","57,446"
"Wolfe, KY","83","25.7%","$232,145","10.2%","135.7%","6,484"
"Sevier, TN","72","16.1%","$407,780","-3.9%","102.4%","99,415"
"Bell, KY","87","11.2%","$101,039","4.2%","-12.0%","23,878"
"Towns, GA","65","25.0%","$398,385","0.7%","25.9%","12,739"
"Graham, NC","61","78.1%","$226,625","4.4%","-17.9%","8,041"
"Lumpkin, GA","50","33.3%","$387,541","3.2%","8.0%","33,931"
"McCreary, KY","69","11.2%","$120,633","11.4%","65.0%","16,905"
"Garrard, KY","57","8.5%","$251,505","12.0%","29.5%","17,346"
"Casey, KY","101","29.9%","$142,534","8.8%","20.9%","15,951"
"Overton, TN","71","64.9%","$241,900","3.8%","54.9%","22,807"
"Nelson, VA","59","3.5%","$353,536","2.1%","-25.9%","14,777"
"Nelson, KY","47","1.0%","$259,165","5.7%","20.5%","47,102"
"Metcalfe, KY","65","89.7%","$170,218","15.3%","19.4%","10,372"
"Simpson, KY","64","23.0%","$259,827","5.2%","93.2%","19,786"
"Oglethorpe, GA","44","-10.2%","$312,768","3.1%","11.3%","15,221"
"Dooly, GA","78","-10.6%","$126,555","-4.9%","32.5%","11,026"
"Crisp, GA","93","24.5%","$127,514","-0.9%","33.3%","19,995"
"Gwinnett, GA","42","42.3%","$424,211","-0.6%","39.5%","983,526"
"Douglas, IL","45","25.0%","$143,481","7.2%","-36.7%","19,686"
"Douglas, GA","56","37.4%","$312,103","-3.4%","60.8%","149,160"
"Bartow, GA","45","1.1%","$323,070","0.7%","34.9%","115,041"
"Haralson, GA","51","61.9%","$268,404","1.7%","25.9%","30,720"
"Chattooga, GA","69","7.8%","$166,830","0.3%","29.0%","24,975"
"Tallapoosa, AL","59","21.6%","$262,896","1.3%","24.8%","41,070"
"Richland, SC","40","9.5%","$238,794","1.9%","12.8%","425,138"
"Richland, IL","21","-66.8%","$130,899","0.4%","-64.9%","15,675"
"Williamson, IL","57","0.8%","$153,305","1.9%","-31.0%","66,706"
"Williamson, TN","50","69.4%","$927,355","3.0%","36.7%","264,460"
"Cheatham, TN","58","82.5%","$392,743","0.4%","78.9%","41,500"
"Humphreys, TN","66","45.0%","$240,213","5.8%","50.0%","19,074"
"Prentiss, MS","50","12.3%","$138,542","0.8%","27.1%","24,999"
"Massac, IL","61","16.1%","$105,844","0.7%","-47.6%","13,958"
"Tippah, MS","72","23.2%","$143,903","3.9%","4.0%","21,621"
"Hardeman, TN","60","-20.5%","$150,553","2.8%","27.6%","25,477"
"Carlisle, KY","52","2.9%","$143,784","9.9%","-10.2%","4,763"
"Dyer, TN","57","24.5%","$168,619","0.1%","-2.1%","36,681"
"Cape Girardeau, MO","59","43.9%","$239,063","3.4%","-11.6%","82,984"
"Shenandoah, VA","37","30.9%","$334,498","3.3%","-9.8%","44,630"
"Brooke, WV","64","38.0%","$121,481","5.5%","-19.4%","22,053"
"Harrison, KY","64","14.2%","$209,392","13.9%","18.5%","18,971"
"Harrison, WV","50","13.6%","$146,390","2.6%","-28.5%","64,639"
"Harrison, IN","43","14.6%","$265,059","5.1%","-0.4%","39,785"
"Harrison, OH","70","12.0%","$132,023","0.1%","-6.9%","14,408"
"Halifax, VA","63","-16.9%","$133,120","0.5%","-27.1%","33,811"
"Bland, VA","106","20.9%","$162,821","2.4%","-5.1%","6,211"
"Gaston, NC","45","3.4%","$296,093","0.2%","78.7%","237,242"
"Lincoln, TN","54","26.6%","$254,442","4.4%","70.5%","35,617"
"Lincoln, GA","70","70.5%","$222,375","3.5%","35.9%","7,773"
"Lincoln, KY","59","37.2%","$197,968","7.6%","18.8%","24,415"
"Lincoln, WV","40","-55.9%","$107,126","0.7%","-5.8%","20,170"
"Lincoln, NC","44","1.1%","$400,478","2.2%","49.6%","95,675"
"Rutherford, TN","46","58.6%","$421,177","1.0%","53.0%","367,101"
"Rutherford, NC","59","32.5%","$209,276","-2.7%","32.9%","65,507"
"Buchanan, VA","46","-37.6%","$74,137","-7.9%","-9.5%","19,857"
"Henderson, TN","72","54.0%","$196,863","5.3%","27.2%","27,906"
"Henderson, KY","52","51.8%","$197,071","5.7%","4.2%","44,493"
"Henderson, NC","52","38.6%","$433,283","1.4%","51.5%","119,230"
"Barnwell, SC","53","16.4%","$142,047","-4.8%","1.7%","20,565"
"Long, GA","64","52.3%","$274,272","3.2%","82.7%","17,512"
"Tattnall, GA","86","-22.8%","$182,391","4.1%","-14.2%","24,215"
"Glascock, GA","111","-55.7%","$169,760","0.8%","162.5%","2,913"
"Morrow, OH","38","34.5%","$267,577","3.3%","34.5%","35,214"
"Fleming, KY","105","156.4%","$185,644","11.0%","43.8%","15,221"
"Woodford, IL","31","47.6%","$225,179","6.1%","-51.2%","38,348"
"Woodford, KY","62","29.1%","$339,257","5.9%","-3.7%","27,017"
"Bullitt, KY","45","44.0%","$285,991","5.4%","33.4%","84,863"
"Howard, IN","35","50.0%","$181,880","8.8%","2.4%","83,831"
"Miami, OH","42","63.1%","$259,165","6.0%","-7.6%","110,876"
"Boone, WV","48","-29.9%","$84,849","-1.2%","-42.8%","21,312"
"Boone, KY","36","39.8%","$335,179","4.1%","5.3%","140,496"
"Boone, IN","37","21.3%","$410,427","2.6%","17.1%","76,120"
"Haywood, TN","78","58.3%","$170,120","0.9%","28.5%","17,672"
"Haywood, NC","51","4.6%","$355,777","2.8%","31.4%","62,432"
"Harlan, KY","60","-12.7%","$80,881","15.7%","5.8%","26,185"
"Grainger, TN","61","-18.1%","$262,646","5.1%","20.4%","23,929"
"Claiborne, TN","54","-4.8%","$211,667","2.8%","0.4%","32,221"
"Van Buren, TN","46","-45.4%","$224,037","6.7%","37.1%","6,293"
"Telfair, GA","124","76.5%","$109,116","-7.5%","0.0%","12,174"
"Hart, KY","73","37.0%","$185,169","10.6%","39.1%","19,470"
"Hart, GA","52","0.4%","$317,451","4.0%","36.7%","26,484"
"Wilkinson, GA","72","-29.0%","$123,652","-1.4%","-1.3%","8,795"
"Banks, GA","38","-46.8%","$337,959","5.4%","75.4%","18,757"
"Peach, GA","53","6.0%","$223,426","2.1%","15.2%","28,269"
"Macon, TN","52","14.4%","$259,187","3.5%","65.4%","25,793"
"Macon, IL","30","-11.9%","$117,849","4.3%","-39.4%","100,591"
"Macon, NC","50","-25.8%","$359,981","5.3%","-1.2%","37,533"
"Macon, AL","84","9.4%","$119,951","3.0%","20.7%","18,951"
"Macon, GA","124","171.4%","$99,253","-5.2%","44.2%","11,953"
"Upson, GA","73","34.5%","$178,467","2.7%","61.1%","27,856"
"Clayton, GA","51","20.0%","$242,302","-6.1%","62.8%","298,300"
"Stewart, TN","72","39.1%","$236,503","2.9%","70.1%","13,859"
"Stewart, GA","58","-49.1%","$81,414","-4.4%","-13.0%","4,978"
"Harris, GA","44","-8.8%","$359,981","4.0%","-10.2%","35,509"
"Polk, NC","60","14.8%","$303,846","3.3%","27.2%","19,689"
"Polk, TN","68","-7.4%","$239,729","4.8%","55.5%","17,702"
"Polk, GA","43","-2.8%","$218,054","1.1%","28.8%","43,365"
"Cleburne, AL","73","-15.1%","$229,419","5.0%","-0.9%","15,254"
"Elmore, AL","50","12.3%","$268,197","3.3%","10.3%","90,441"
"Chilton, AL","68","4.2%","$218,404","2.7%","14.5%","45,500"
"Warrick, IN","38","0.0%","$280,991","3.2%","39.9%","65,867"
"Christian, KY","53","73.7%","$206,547","7.9%","62.8%","72,032"
"Christian, IL","46","-8.0%","$120,755","5.7%","-26.3%","33,684"
"St. Clair, AL","55","10.5%","$267,793","-0.4%","12.2%","95,552"
"Henry, IN","46","21.0%","$182,889","7.1%","-5.7%","48,896"
"Henry, GA","57","29.5%","$331,649","-3.3%","57.2%","254,613"
"Henry, KY","58","6.9%","$238,953","7.7%","8.9%","15,774"
"Henry, VA","46","5.7%","$137,467","0.4%","-24.2%","50,365"
"Henry, TN","76","7.4%","$203,781","3.7%","20.8%","32,345"
"Calloway, KY","43","7.5%","$159,820","6.1%","-24.7%","37,882"
"Tishomingo, MS","85","34.3%","$187,676","6.8%","0.1%","18,738"
"Livingston, KY","56","-36.0%","$148,002","9.5%","-3.0%","8,941"
"Graves, KY","46","-15.6%","$162,915","10.8%","10.0%","36,612"
"Hickman, TN","56","67.1%","$176,264","5.3%","77.5%","25,229"
"Hickman, KY","47","2.7%","$153,157","16.7%","-11.1%","4,470"
"Obion, TN","70","6.0%","$155,991","1.6%","17.6%","30,570"
"Benton, TN","66","7.3%","$170,990","-0.9%","6.8%","15,948"
"Benton, IN","41","29.5%","$188,499","6.9%","48.1%","8,708"
"Benton, MS","47","-15.8%","$141,317","9.4%","30.4%","7,592"
"Winston, MS","135","121.3%","$141,120","-1.3%","13.0%","17,609"
"Winston, AL","66","18.9%","$184,003","5.5%","18.3%","23,637"
"Noxubee, MS","124","185.0%","$113,918","8.3%","-43.6%","10,136"
"Neshoba, MS","70","18.1%","$139,723","0.2%","4.9%","28,927"
"Yalobusha, MS","68","-3.5%","$150,605","1.1%","16.6%","12,439"
"Westmoreland, PA","45","0.0%","$206,425","3.8%","-12.1%","351,163"
"Staunton, VA","30","-31.4%","$276,345","3.9%","-14.5%","25,765"
"Gilmer, GA","62","-0.4%","$423,453","1.0%","61.3%","31,976"
"Gilmer, WV","85","-15.4%","$117,517","4.2%","9.5%","7,376"
"Wirt, WV","56","-2.1%","$109,738","3.9%","69.2%","5,131"
